ticket_id,created_date,status,priority,category,subject,description,resolution_notes
SUP-009,2023-01-22,closed,High,feature request,Email sync not working,Customer reported: Email sync not working,Resolution for Email sync not working
SUP-012,2023-01-25,closed,High,usage,Mobile app crashes,Customer reported: Mobile app crashes,Resolution for Mobile app crashes
SUP-015,2023-02-05,closed,High,usage,Cannot access dashboard,Customer reported: Cannot access dashboard,Resolution for Cannot access dashboard
SUP-011,2023-03-03,closed,High,integration,Data import failed,Customer reported: Data import failed,Resolution for Data import failed
SUP-018,2023-03-15,closed,High,usage,Custom field problems,Customer reported: Custom field problems,Resolution for Custom field problems
SUP-004,2023-03-16,closed,Medium,feature request,Data import failed,Customer reported: Data import failed,Resolution for Data import failed
SUP-003,2023-04-05,closed,High,integration,Data import failed,Customer reported: Data import failed,Resolution for Data import failed
SUP-019,2023-04-07,closed,Low,integration,Workflow automation issue,Customer reported: Workflow automation issue,Resolution for Workflow automation issue
SUP-013,2023-05-06,closed,Medium,usage,Need help with API integration,Customer reported: Need help with API integration,Resolution for Need help with API integration
SUP-002,2023-05-12,closed,Medium,bug,Email sync not working,Customer reported: Email sync not working,Resolution for Email sync not working
SUP-014,2023-05-26,closed,High,bug,Report generation error,Customer reported: Report generation error,Resolution for Report generation error
SUP-021,2023-06-14,closed,Medium,usage,Need help with API integration,Customer reported: Need help with API integration,Resolution for Need help with API integration
SUP-017,2023-06-15,closed,Medium,bug,Calendar sync issues,Customer reported: Calendar sync issues,Resolution for Calendar sync issues
SUP-023,2023-06-23,closed,Low,feature request,Cannot access dashboard,Customer reported: Cannot access dashboard,Resolution for Cannot access dashboard
SUP-022,2023-07-04,closed,High,bug,Custom field problems,Customer reported: Custom field problems,Resolution for Custom field problems
SUP-010,2023-07-17,closed,High,bug,Need help with API integration,Customer reported: Need help with API integration,Resolution for Need help with API integration
SUP-001,2023-07-23,closed,Low,technical,Workflow automation issue,Customer reported: Workflow automation issue,Resolution for Workflow automation issue
SUP-025,2023-07-27,closed,Medium,usage,Need help with API integration,Customer reported: Need help with API integration,Resolution for Need help with API integration
SUP-024,2023-09-16,closed,High,integration,Workflow automation issue,Customer reported: Workflow automation issue,Resolution for Workflow automation issue
SUP-020,2023-09-30,closed,Medium,integration,Mobile app crashes,Customer reported: Mobile app crashes,Resolution for Mobile app crashes
SUP-005,2023-11-15,closed,Low,bug,Email sync not working,Customer reported: Email sync not working,Resolution for Email sync not working
SUP-006,2023-11-19,closed,High,bug,Search not returning results,Customer reported: Search not returning results,Resolution for Search not returning results
SUP-008,2023-11-28,closed,Low,technical,Workflow automation issue,Customer reported: Workflow automation issue,Resolution for Workflow automation issue
SUP-007,2023-12-16,closed,Low,technical,Workflow automation issue,Customer reported: Workflow automation issue,Resolution for Workflow automation issue
SUP-016,2023-12-16,closed,Medium,usage,Calendar sync issues,Customer reported: Calendar sync issues,Resolution for Calendar sync issues
